id,parent,Depth,cgLowerBound,FS,rdtCG,rdtFS,Child,Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,729.758,8.056,-3.191,-1.287,3,4,4-22-4 = 1.0,8-33-8 = 0.028,5-38-5 = 0.417,8-39-8 = 0.083,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.222,8-33-39-8 = 0.694,8-33-40-11-8 = 0.056,8-12-47-11-8 = 0.944,8-12-9-58-43-4 = 0.056,8-40-44-51-43-4 = 0.167,8-10-49-19-37-7 = 0.5,8-45-20-40-23-8 = 0.056,5-35-56-14-5 = 0.417,5-18-54-34-13-5 = 0.833,5-32-55-14-5 = 0.417,5-35-38-5 = 0.583,5-25-51-43-4 = 0.056,5-56-55-32-5 = 0.583,5-18-54-13-14-5 = 0.167,5-25-9-10-58-5 = 0.167,5-25-9-51-44-4 = 0.611,5-25-9-58-46-4 = 0.167,5-34-58-46-43-4 = 0.167,8-49-10-46-47-4 = 0.056,8-49-10-58-46-4 = 0.278,8-49-58-46-43-4 = 0.167,4-15-28-4 = 1.0,4-17-57-4 = 1.0,4-45-20-44-43-4 = 0.222,4-51-46-43-4 = 0.167,4-45-20-40-23-8 = 0.722,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,,,,,,,,,,,
4,1,729.892,8.595,0.134,0.539,5,6,4-22-4 = 1.0,8-33-8 = 0.414,8-39-8 = 0.414,5-42-5 = 1.0,7-31-52-29-19-8 = 0.491,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.491,7-52-29-37-7 = 0.509,7-31-21-26-36-7 = 0.509,8-33-23-39-8 = 0.302,8-33-39-8 = 0.284,8-12-47-11-8 = 0.991,8-40-44-51-43-4 = 0.302,8-12-9-58-49-19-8 = 0.009,8-10-49-19-37-7 = 0.491,5-35-56-14-5 = 0.181,5-18-54-34-13-5 = 0.629,5-32-55-14-5 = 0.181,5-38-50-16-5 = 0.091,5-38-41-57-4 = 0.091,5-35-38-5 = 0.819,5-25-51-43-4 = 0.06,5-25-58-10-49-8 = 0.043,5-56-55-32-5 = 0.819,5-18-54-13-14-5 = 0.009,5-54-34-13-14-5 = 0.362,5-25-9-10-58-5 = 0.017,5-18-25-9-58-14-5 = 0.267,5-25-9-51-44-4 = 0.397,5-25-9-58-46-4 = 0.216,8-49-10-46-47-4 = 0.009,8-49-10-58-46-4 = 0.44,4-28-15-4 = 0.909,4-17-57-4 = 0.909,4-17-15-28-4 = 0.091,5-34-58-49-19-11-8 = 0.009,5-18-9-46-43-4 = 0.095,4-45-20-44-43-4 = 0.302,4-51-46-43-4 = 0.241,4-45-20-40-23-8 = 0.698,4-41-50-16-5 = 0.909,8-27-53-8 = 1.0,,,,,,,,
6,4,729.964,8.638,0.072,0.043,7,8,4-22-4 = 1.0,8-33-8 = 0.45,8-39-8 = 0.462,5-42-5 = 1.0,7-31-52-29-19-8 = 0.475,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.475,7-52-29-37-7 = 0.525,7-31-21-26-36-7 = 0.525,8-33-23-39-8 = 0.338,8-33-39-8 = 0.2,8-33-40-11-8 = 0.012,8-12-47-11-8 = 0.938,8-12-9-10-49-8 = 0.063,8-40-44-51-43-4 = 0.325,8-10-49-19-37-7 = 0.475,5-35-56-14-5 = 0.238,5-18-54-34-13-5 = 0.712,5-32-55-14-5 = 0.238,5-38-50-16-5 = 0.119,5-38-41-57-4 = 0.119,5-35-38-5 = 0.762,5-25-51-43-4 = 0.05,5-25-58-10-49-8 = 0.013,5-56-55-32-5 = 0.762,5-18-54-13-14-5 = 0.05,5-54-34-13-14-5 = 0.237,5-25-9-10-58-5 = 0.05,5-18-25-9-58-14-5 = 0.237,5-25-9-58-46-4 = 0.65,8-49-10-46-47-4 = 0.063,8-49-10-51-44-4 = 0.337,4-28-15-4 = 0.881,4-17-57-4 = 0.881,4-17-15-28-4 = 0.119,5-34-58-49-19-11-8 = 0.05,4-45-20-44-43-4 = 0.338,4-51-46-43-4 = 0.288,4-45-20-40-23-8 = 0.662,4-41-50-16-5 = 0.881,8-27-53-8 = 1.0,,,,,,,,,
7,6,731.111,7.274,1.147,-1.364,9,10,4-22-4 = 1.0,8-33-8 = 0.28,8-39-8 = 0.28,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.089,8-33-39-8 = 0.631,8-12-47-11-8 = 1.0,8-40-44-51-43-4 = 0.089,8-45-20-40-23-8 = 0.179,5-18-54-34-13-5 = 0.333,5-35-38-5 = 1.0,5-25-51-43-4 = 0.298,5-56-55-32-5 = 1.0,5-18-54-13-14-5 = 0.179,5-54-34-13-14-5 = 0.488,5-18-25-9-58-14-5 = 0.333,5-18-58-49-19-37-7 = 0.149,5-25-9-58-46-4 = 0.339,5-34-58-10-46-4 = 0.179,8-49-10-51-44-4 = 0.458,8-49-10-44-43-4 = 0.363,4-28-15-4 = 1.0,4-17-57-4 = 1.0,5-18-9-46-43-4 = 0.006,5-25-49-19-37-7 = 0.03,4-45-20-44-43-4 = 0.089,4-51-46-43-4 = 0.155,8-9-46-19-37-7 = 0.321,4-45-20-40-23-8 = 0.732,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,,,,,,,,,,,,,,
10,7,731.113,7.306,0.002,0.032,11,12,4-22-4 = 1.0,8-33-8 = 0.281,8-39-8 = 0.281,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.088,8-33-39-8 = 0.631,8-12-47-11-8 = 1.0,8-40-44-51-43-4 = 0.088,8-45-20-40-23-8 = 0.175,5-35-56-14-5 = 0.006,5-18-54-34-13-5 = 0.344,5-32-55-14-5 = 0.006,5-38-50-16-5 = 0.003,5-38-41-57-4 = 0.003,5-35-38-5 = 0.994,5-25-51-43-4 = 0.3,5-56-55-32-5 = 0.994,5-18-54-13-14-5 = 0.175,5-54-34-13-14-5 = 0.481,5-18-25-9-58-14-5 = 0.331,5-18-58-49-19-37-7 = 0.15,5-25-9-58-46-4 = 0.344,5-34-58-10-46-4 = 0.175,8-49-10-51-44-4 = 0.456,8-49-10-44-43-4 = 0.369,4-28-15-4 = 0.997,4-17-57-4 = 0.997,4-17-15-28-4 = 0.003,5-25-49-19-37-7 = 0.025,4-45-20-44-43-4 = 0.088,4-51-46-43-4 = 0.156,8-9-46-19-37-7 = 0.325,4-45-20-40-23-8 = 0.737,4-41-50-16-5 = 0.997,8-27-53-8 = 1.0,,,,,,,,,,
12,10,731.312,7.444,0.199,0.138,13,14,4-22-4 = 1.0,8-33-8 = 0.333,8-39-8 = 0.333,5-42-5 = 1.0,7-31-52-29-19-8 = 0.444,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.444,7-52-29-37-7 = 0.556,7-31-21-26-36-7 = 0.556,8-33-23-39-8 = 0.222,8-33-39-8 = 0.444,8-12-47-11-8 = 0.889,8-40-44-51-43-4 = 0.222,8-45-20-44-43-4 = 0.111,5-18-54-34-13-5 = 0.333,5-35-38-5 = 1.0,5-25-51-43-4 = 0.389,5-56-55-32-5 = 1.0,5-18-54-13-14-5 = 0.278,5-54-34-13-14-5 = 0.389,5-18-25-9-58-14-5 = 0.333,5-18-58-49-19-37-7 = 0.056,5-25-9-51-44-4 = 0.056,5-25-9-58-46-4 = 0.222,5-34-58-10-46-4 = 0.278,8-49-10-46-47-4 = 0.111,8-49-10-51-44-4 = 0.333,8-49-10-44-43-4 = 0.278,4-28-15-4 = 1.0,4-17-57-4 = 1.0,8-49-46-19-37-7 = 0.111,8-9-46-19-37-7 = 0.278,4-45-20-40-23-8 = 0.778,4-41-50-16-5 = 1.0,4-12-9-58-49-19-8 = 0.111,4-45-20-11-8 = 0.111,8-27-53-8 = 1.0,,,,,,,,,,,,,
13,12,731.721,6.25,0.409,-1.194,15,16,4-22-4 = 1.0,8-33-8 = 0.125,5-38-5 = 0.125,8-39-8 = 0.125,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-31-52-37-7 = 0.25,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.75,7-52-29-37-7 = 0.25,7-31-21-26-36-7 = 0.25,8-33-39-8 = 0.875,8-12-47-11-8 = 1.0,8-51-46-43-4 = 0.25,5-35-56-14-5 = 0.125,5-18-54-34-13-5 = 0.5,5-32-55-14-5 = 0.125,5-35-38-5 = 0.875,5-25-51-43-4 = 0.25,5-56-55-32-5 = 0.875,5-18-54-13-14-5 = 0.25,5-54-34-13-14-5 = 0.25,5-18-25-9-58-14-5 = 0.25,5-25-9-58-46-4 = 0.5,8-49-10-51-44-4 = 0.5,8-49-10-44-43-4 = 0.5,4-28-15-4 = 1.0,4-17-57-4 = 1.0,5-34-58-29-19-37-7 = 0.25,8-9-46-19-37-7 = 0.25,4-45-20-40-23-8 = 1.0,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,,,,,,,,,,,,,,,,,
16,13,732.462,7.36,0.741,1.11,17,18,4-22-4 = 1.0,5-38-5 = 0.42,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-31-52-37-7 = 0.12,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.62,7-52-29-37-7 = 0.38,7-31-21-26-36-7 = 0.38,8-33-23-39-8 = 0.1,8-33-39-8 = 0.9,8-12-47-11-8 = 0.9,8-40-44-51-43-4 = 0.1,5-35-56-14-5 = 0.42,5-35-56-38-5 = 0.04,5-18-54-34-13-5 = 0.88,5-32-55-14-5 = 0.46,5-35-38-5 = 0.54,5-25-51-43-4 = 0.34,5-56-55-32-5 = 0.54,5-18-54-58-13-5 = 0.12,5-25-58-51-14-5 = 0.12,5-25-9-58-46-4 = 0.54,8-49-10-46-47-4 = 0.1,8-49-10-51-44-4 = 0.34,8-49-10-44-43-4 = 0.56,4-28-15-4 = 0.96,4-15-57-4 = 0.02,4-17-57-4 = 0.98,4-17-15-28-4 = 0.02,5-34-58-29-19-37-7 = 0.12,4-45-20-28-4 = 0.02,4-12-9-58-51-4 = 0.1,8-9-46-19-37-7 = 0.36,4-45-20-40-23-8 = 0.9,4-41-50-16-5 = 1.0,4-45-20-11-8 = 0.08,8-27-53-8 = 1.0,8-11-19-37-7 = 0.02,,,,,,,,,,,
17,16,732.556,6.724,0.094,-0.636,19,20,4-22-4 = 1.0,5-38-5 = 0.391,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-31-52-37-7 = 0.115,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.615,7-52-29-37-7 = 0.385,7-31-21-26-36-7 = 0.385,8-33-23-39-8 = 0.023,8-33-39-8 = 0.977,8-12-47-11-8 = 1.0,8-10-51-43-4 = 0.011,8-40-44-51-43-4 = 0.011,8-51-46-43-4 = 0.069,8-40-49-46-43-4 = 0.011,5-35-56-14-5 = 0.391,5-35-56-38-5 = 0.023,5-18-54-34-13-5 = 0.845,5-32-55-14-5 = 0.414,5-35-38-5 = 0.586,5-25-51-43-4 = 0.27,5-54-9-58-51-4 = 0.04,5-56-55-32-5 = 0.586,5-18-54-58-13-5 = 0.115,5-25-58-51-14-5 = 0.155,5-18-25-9-58-14-5 = 0.04,5-25-9-58-46-4 = 0.534,5-34-13-51-43-4 = 0.04,8-49-10-51-44-4 = 0.402,8-49-10-44-43-4 = 0.586,4-28-15-4 = 0.954,4-15-57-4 = 0.023,4-17-57-4 = 0.977,4-17-15-28-4 = 0.023,5-34-58-29-19-37-7 = 0.115,4-45-20-28-4 = 0.023,8-9-46-19-37-7 = 0.385,4-45-20-40-23-8 = 0.977,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,,,,,,,,,
19,17,732.743,7.333,0.187,0.609,21,22,4-22-4 = 1.0,5-42-5 = 1.0,7-36-26-7 = 0.083,7-31-52-29-19-7 = 0.083,7-31-52-29-19-8 = 0.417,7-31-52-37-7 = 0.167,7-48-24-30-7 = 1.0,7-21-54-14-5 = 0.083,7-21-26-36-7 = 0.583,7-52-29-37-7 = 0.333,7-31-21-26-36-7 = 0.333,8-33-39-8 = 1.0,8-12-47-11-8 = 1.0,8-51-46-43-4 = 0.083,5-35-56-14-5 = 0.333,5-35-56-38-5 = 0.167,5-18-54-34-13-5 = 0.75,5-32-55-14-5 = 0.5,5-35-38-5 = 0.5,5-25-51-43-4 = 0.333,5-56-55-32-5 = 0.5,5-18-54-58-13-5 = 0.167,5-18-25-9-58-14-5 = 0.083,5-25-9-58-46-4 = 0.5,5-34-13-51-43-4 = 0.083,8-49-10-51-44-4 = 0.5,8-49-10-44-43-4 = 0.5,4-15-28-4 = 1.0,4-17-57-4 = 1.0,5-34-58-29-19-37-7 = 0.167,8-9-46-19-37-7 = 0.333,4-45-20-40-23-8 = 1.0,4-41-50-16-5 = 1.0,5-42-38-5 = 0.333,8-27-53-8 = 1.0,5-25-9-58-46-5 = 0.083,,,,,,,,,,,,,,
