id,parent,cgLowerBound,FS,rdtCG,rdtFS,Child,Child,,,,,,,,,,,,,
0,0,377.131,3,377.131,3,1,2,3-7-15-3 = 0.5,3-7-6-20-3 = 0.5,3-20-6-15-3 = 0.5,3-16-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,,,,
2,0,377.192,1.5,0.061,-1.5,3,4,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,,,,,
3,2,378.02,2,0.828,0.5,5,6,4-12-4 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,,,,
6,3,378.05,2,0.029,0,7,8,4-12-4 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,,,,
7,6,382.067,0,4.018,-2,Integer,,4-10-4 = 1.0,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-13-11-12-4 = 1.0,4-19-17-4 = 1.0,,,,,,
4,2,377.577,4,0.385,2.5,9,10,3-7-6-15-3 = 0.5,3-7-16-3 = 0.5,3-20-9-3 = 0.5,3-20-6-15-3 = 0.5,3-16-9-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,,,
9,4,384.107,0,6.53,0,Prune by CG,,3-7-8-3 = 0.2,3-7-15-3 = 0.6,3-7-18-3 = 0.2,3-20-6-15-3 = 0.4,3-16-9-3 = 1.0,3-14-18-8-3 = 0.8,3-14-11-17-4 = 0.2,4-17-10-4 = 0.8,4-11-6-20-3 = 0.4,4-13-11-12-4 = 0.2,4-19-11-4 = 0.2,4-19-13-12-4 = 0.8,3-20-6-10-4 = 0.2
8,6,378.87,3,0.821,1,11,12,4-12-4 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 0.5,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,4-12-17-10-4 = 0.5,,,
12,8,378.878,1.5,0.007,-1.5,13,14,4-12-4 = 1.0,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,,,,
14,12,379.262,4,0.385,2.5,15,16,4-12-4 = 1.0,3-7-6-15-3 = 0.5,3-7-16-3 = 0.5,3-20-9-3 = 0.5,3-20-6-15-3 = 0.5,3-16-9-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,,
