timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-01-23,c,"cf4-2,3,15",15,4,2,4,0.8780491352081299,413.73207898380826,/
03-02-2026-01-23,c,"cf5-2,3,15",15,4,2,3,0.7711479663848877,383.974715845079,/
03-02-2026-01-23,c,"cf3-2,3,15",15,4,2,4,0.6590747833251953,428.75373618615157,/
03-02-2026-01-23,c,"cg1-2,3,15",15,4,2,4,2.7593817710876465,422.8700941287786,/
03-02-2026-01-23,c,"cf2-3,5,15",15,7,4,3,6.5580480098724365,376.01188940240695,/
03-02-2026-01-23,bp,"ce1-2,3,15",15,4,2,4,19.277488946914673,444.27821355770584,/
03-02-2026-01-23,c,"cg2-2,3,15",15,4,2,4,6.209829092025757,344.90719558986723,/
03-02-2026-01-23,c,"cf5-6,4,15",15,9,5,3,8.8836350440979,348.11349566848617,/
03-02-2026-01-23,c,"cg5-2,3,15",15,4,2,3,5.629503965377808,362.1788057578317,/
03-02-2026-01-23,c,"cg4-2,3,15",15,4,2,4,6.1076819896698,414.79805324134776,/
03-02-2026-01-23,c,"cf4-3,5,15",15,7,4,3,9.640841007232666,316.90014456721883,/
03-02-2026-01-23,bp,"cf1-2,3,15",15,4,2,4,20.072178840637207,452.5526839815021,/
03-02-2026-01-23,bp,"cf1-2,3,20",20,4,2,5,20.258599996566772,447.8958010102848,/
03-02-2026-01-23,c,"cf5-2,3,20",20,4,2,6,10.096811056137085,528.1472575490393,/
03-02-2026-01-23,c,"cf4-6,4,15",15,9,5,3,10.432272911071777,362.0301104897604,/
03-02-2026-01-23,c,"cg3-2,3,15",15,4,2,4,7.073561191558838,404.6263706766863,/
03-02-2026-01-23,bp,"cf1-3,5,15",15,7,4,3,21.96311902999878,407.94343020773687,/
03-02-2026-01-23,c,"cg1-3,5,15",15,7,4,3,9.47706413269043,363.8536961723788,/
03-02-2026-01-23,c,"cf3-2,3,20",20,4,2,5,11.89948582649231,491.1451216708492,/
03-02-2026-01-23,bp,"ce1-2,3,20",20,4,2,5,24.77697491645813,460.4010212136561,/
03-02-2026-01-23,bp,"ce1-3,5,15",15,7,4,3,25.283484935760498,417.3541695284085,/
03-02-2026-01-23,c,"cg5-2,3,20",20,4,2,5,9.671262979507446,458.6662856700788,/
