C105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       1236          0   
   31      10         35         20        181        256         90   
   32      10         40         30         31        170         90   
   33       8         40         40         52        193         90   
   34       8         45         20        719        848         90   
   35       5         35         10        252        375         90   
   36       5         45         10        639        742         90   
   37       2         40         20        357        460         90   
   38       0         40         30        457        544         90   
   39       0         45         20        538        653         90   
   53      44          5         20        255        378         90   
   54      42         10         40        150        293         90   
   55      42         15         10         63        190         90   
   56      40          5         30        359        462         90   
   57      40         15         40         35        140         90   
   58      38          5         30        439        566         90   
   59      38         15         10        607        784         90   
   60      35          5         20        529        662         90   
   61      50         30         10        491        650         90   
   62      50         35         20        235        344         90   
   63      50         40         50        147        242         90   
   64      48         30         10        601        724         90   
   65      48         40         10         50        155         90   
   66      47         35         10        802        899         90   
   67      47         40         10         12        143         90   
   68      45         30         10        712        799         90   
   69      45         35         10        889        996         90   
   70      95         30         30        353        490         90   
   71      95         35         20        260        393         90   
   72      53         30         10        422        533         90   
   73      92         30         10        442        587         90   
   74      53         35         50        323        442         90   
   76      90         35         10        175        288         90   
   77      88         30         10        539        678         90   
   78      88         35         20         78        201         90   
   79      87         30         10        636        763         90   
   80      85         25         10        744        845         90   
   81      85         35         30         47        201         90   
   92      67         85         20        331        478         90   
   93      65         85         40        453        540         90   
   94      65         82         10        260        361         90   
   95      62         80         30        174        261         90   
   96      60         80         10         64        187         90   
   97      60         85         30        531        652         90   
   98      58         75         20         30        139         90   
   99      55         80         10        705        858         90   
  100      55         85         20        608        765         90   
