R104

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    
    0      35         35          0          0        230          0   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    7      20         50          5          0        198         10   
    9      55         60         16         97        107         10   
   10      30         60         16          0        194         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   15      30          5          8         61         71         10   
   16      10         20         19          0        190         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   22      45         10         18          0        193         10   
   25      65         20          6        172        182         10   
   26      45         30         17          0        208         10   
   27      35         40         16          0        215         10   
   28      41         37         16          0        213         10   
   30      40         60         21          0        194         10   
   31      31         52         27          0        202         10   
   33      53         52         11          0        195         10   
   34      65         55         14          0        183         10   
   35      63         65          8          0        178         10   
   39      60         12         31          0        186         10   
   40      40         25          9          0        208         10   
   42      24         12          5          0        194         10   
   43      23          3          7          0        185         10   
   44      11         14         18         69         79         10   
   45       6         38         16          0        190         10   
   47       8         56         27          0        185         10   
   53      37         31         14         95        105         10   
   55      63         23          2        136        146         10   
   62      24         58         19         58         68         10   
   64      15         77          9          0        173         10   
   66      49         73         25          0        179         10   
   67      67          5         25         83         93         10   
   70      37         56          5          0        198         10   
   72      47         16         25          0        197         10   
   73      44         17          9          0        199         10   
   76      49         42         13         73         83         10   
   77      53         43         14        179        189         10   
   78      61         52          3          0        188         10   
   81      55         54         26          0        192         10   
   83      14         37         11          0        198         10   
   84      11         31          7        101        111         10   
   87      28         18         26         93        103         10   
   89      26         35         15          0        211         10   
   91      15         19          1          0        194         10   
   93      18         24         22          0        199         10   
   94      26         27         27          0        207         10   
   96      22         27         11          0        204         10   
   97      25         21         12          0        202         10   
