R101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0         35         35          0            0        230          0
    4         55         20         19          149        159         10
    5         15         30         26           34         44         10
    7         20         50          5           81         91         10
   11         20         65         12           67         77         10
   12         50         35         19           63         73         10
   15         30          5          8           61         71         10
   16         10         20         19           75         85         10
   18         20         40         12           87         97         10
   27         35         40         16           37         47         10
   33         53         52         11           37         47         10
   34         65         55         14          117        127         10
   35         63         65          8          143        153         10
   39         60         12         31           44         54         10
   40         40         25          9           85         95         10
   42         24         12          5           31         41         10
   43         23          3          7          132        142         10
   44         11         14         18           69         79         10
   45          6         38         16           32         42         10
   47          8         56         27           51         61         10
   53         37         31         14           95        105         10
   66         49         73         25          127        137         10
   67         67          5         25           83         93         10
   70         37         56          5          182        192         10
   72         47         16         25           35         45         10
   73         44         17          9           78         88         10
   76         49         42         13           73         83         10
   77         53         43         14          179        189         10
   89         26         35         15          176        186         10
   91         15         19          1          160        170         10
   93         18         24         22          188        198         10
   94         26         27         27          100        110         10
   96         22         27         11          135        145         10
   97         25         21         12          133        143         10
